time_s,v_ms,dv_ms2,gear,x_tot_m
1,0.0,0.0,0,0.0
2,0.0,0.0,0,0.0
3,0.0,0.0,0,0.0
4,0.0,0.0,0,0.0
5,0.0,0.0,0,0.0
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,0.0,0.0,0,0.0
9,0.0,0.0,0,0.0
10,0.0,0.0,0,0.0
11,0.0,0.0,0,0.0
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,0.0,0.0,0,0.0
16,0.0,0.0,0,0.0
17,0.0,0.0,0,0.0
18,0.0,0.0,0,0.0
19,0.0,0.0,0,0.0
20,0.0,0.0,0,0.0
21,0.0,0.0,0,0.0
22,0.0,0.0,0,0.0
23,0.0,0.0,0,0.0
24,0.0,0.0,0,0.0
25,0.0,0.0,0,0.0
26,0.0,0.0,0,0.0
27,0.0,0.0,0,0.0
28,0.0,0.0,0,0.0
29,0.0,0.0,0,0.0
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,0.0,0.0,0,0.0
38,0.0,0.0,0,0.0
39,0.0,0.0,0,0.0
40,0.0,0.0,0,0.0
41,0.0,0.0,0,0.0
42,0.0,0.0,0,0.0
43,0.0,0.0,0,0.0
44,0.0,0.0,0,0.0
45,0.0,0.0,0,0.0
46,0.0,0.0,0,0.0
47,0.0,0.0,0,0.0
48,0.0,0.0,0,0.0
49,0.0,0.0,0,0.0
50,0.0,0.0,0,0.0
51,0.0,0.0,0,0.0
52,0.0,1.0416666666666667,0,0.0
53,1.0416666666666667,1.0416666666666667,1,0.5208333333333334
54,2.0833333333333335,1.0416666666666665,1,2.0833333333333335
55,3.125,1.041666666666667,1,4.6875
56,4.166666666666667,0.0,1,8.333333333333334
57,4.166666666666667,0.0,1,12.5
58,4.166666666666667,0.0,1,16.666666666666668
59,4.166666666666667,0.0,1,20.833333333333336
60,4.166666666666667,0.0,1,25.000000000000004
61,4.166666666666667,0.0,1,29.16666666666667
62,4.166666666666667,0.0,1,33.333333333333336
63,4.166666666666667,0.0,1,37.5
64,4.166666666666667,-0.6944444444444446,1,41.666666666666664
65,3.4722222222222223,-0.6944444444444446,1,45.48611111111111
66,2.7777777777777777,-0.9259166666666667,1,48.61111111111111
67,1.851861111111111,-0.9259444444444443,1,50.92593055555555
68,0.9259166666666666,-0.9259166666666666,0,52.31481944444444
69,0.0,0.0,0,52.77777777777777
70,0.0,0.0,0,52.77777777777777
71,0.0,0.0,0,52.77777777777777
72,0.0,0.0,0,52.77777777777777
73,0.0,0.0,0,52.77777777777777
74,0.0,0.0,0,52.77777777777777
75,0.0,0.0,0,52.77777777777777
76,0.0,0.0,0,52.77777777777777
77,0.0,0.0,0,52.77777777777777
78,0.0,0.0,0,52.77777777777777
79,0.0,0.0,0,52.77777777777777
80,0.0,0.0,0,52.77777777777777
81,0.0,0.0,0,52.77777777777777
82,0.0,0.0,0,52.77777777777777
83,0.0,0.0,0,52.77777777777777
84,0.0,0.0,0,52.77777777777777
85,0.0,0.0,0,52.77777777777777
86,0.0,0.0,0,52.77777777777777
87,0.0,0.0,0,52.77777777777777
88,0.0,0.0,0,52.77777777777777
89,0.0,0.0,0,52.77777777777777
90,0.0,0.74075,0,52.77777777777777
91,0.74075,0.7407222222222223,1,53.148152777777774
92,1.4814722222222223,0.74075,1,54.25926388888889
93,2.2222222222222223,0.7407499999999998,1,56.111111111111114
94,2.962972222222222,0.7407222222222223,1,58.70370833333334
95,3.7036944444444444,0.7407500000000002,1,62.037041666666674
96,4.444444444444445,0.7407499999999994,1,66.11111111111111
97,5.185194444444444,0.7407222222222227,1,70.92593055555555
98,5.925916666666667,0.7407499999999994,1,76.48148611111111
99,6.666666666666666,0.7407500000000002,1,82.77777777777777
100,7.407416666666666,0.7407222222222227,1,89.81481944444444
101,8.148138888888889,0.7407500000000002,1,97.59259722222221
102,8.88888888888889,0.0,2,106.1111111111111
103,8.88888888888889,0.0,2,114.99999999999999
104,8.88888888888889,0.0,2,123.88888888888887
105,8.88888888888889,0.0,2,132.77777777777777
106,8.88888888888889,0.0,2,141.66666666666666
107,8.88888888888889,0.0,2,150.55555555555554
108,8.88888888888889,0.0,2,159.44444444444443
109,8.88888888888889,0.0,2,168.33333333333331
110,8.88888888888889,0.0,2,177.2222222222222
111,8.88888888888889,0.0,2,186.1111111111111
112,8.88888888888889,0.0,2,194.99999999999997
113,8.88888888888889,0.0,2,203.88888888888886
114,8.88888888888889,0.0,2,212.77777777777774
115,8.88888888888889,0.0,2,221.66666666666663
116,8.88888888888889,0.0,2,230.55555555555551
117,8.88888888888889,0.0,2,239.4444444444444
118,8.88888888888889,0.0,2,248.3333333333333
119,8.88888888888889,0.0,2,257.2222222222222
120,8.88888888888889,0.0,2,266.1111111111111
121,8.88888888888889,0.0,2,275.0
122,8.88888888888889,0.0,2,283.8888888888889
123,8.88888888888889,0.0,2,292.7777777777778
124,8.88888888888889,0.0,2,301.66666666666674
125,8.88888888888889,0.0,2,310.55555555555566
126,8.88888888888889,-0.8080833333333342,2,319.44444444444457
127,8.080805555555555,-0.8080833333333333,2,327.9292916666668
128,7.272722222222222,-0.8080833333333333,2,335.6060555555557
129,6.464638888888889,-0.8080833333333324,1,342.47473611111127
130,5.656555555555556,-0.8080833333333342,1,348.5353333333335
131,4.848472222222222,-0.8080555555555557,1,353.78784722222235
132,4.040416666666666,-0.8080833333333333,1,358.2322916666668
133,3.232333333333333,-0.8080833333333333,1,361.8686666666668
134,2.42425,-0.8080833333333333,1,364.69695833333344
135,1.6161666666666665,-0.8080833333333333,0,366.7171666666668
136,0.8080833333333333,-0.8080833333333333,0,367.9292916666668
137,0.0,0.0,0,368.3333333333335
138,0.0,0.0,0,368.3333333333335
139,0.0,0.0,0,368.3333333333335
140,0.0,0.0,0,368.3333333333335
141,0.0,0.0,0,368.3333333333335
142,0.0,0.0,0,368.3333333333335
143,0.0,0.0,0,368.3333333333335
144,0.0,0.0,0,368.3333333333335
145,0.0,0.0,0,368.3333333333335
146,0.0,0.0,0,368.3333333333335
147,0.0,0.0,0,368.3333333333335
148,0.0,0.0,0,368.3333333333335
149,0.0,0.0,0,368.3333333333335
150,0.0,0.0,0,368.3333333333335
151,0.0,0.0,0,368.3333333333335
152,0.0,0.0,0,368.3333333333335
153,0.0,0.0,0,368.3333333333335
154,0.0,0.0,0,368.3333333333335
155,0.0,0.0,0,368.3333333333335
156,0.0,0.0,0,368.3333333333335
157,0.0,0.0,0,368.3333333333335
158,0.0,0.5341944444444444,0,368.3333333333335
159,0.5341944444444444,0.5341944444444444,1,368.6004305555557
160,1.0683888888888888,0.5341666666666667,1,369.40172222222236
161,1.6025555555555555,0.5341944444444446,1,370.7371944444446
162,2.13675,0.5341944444444442,1,372.60684722222237
163,2.6709444444444443,0.5341944444444446,1,375.0106944444446
164,3.205138888888889,0.5341666666666662,1,377.94873611111126
165,3.739305555555555,0.5341944444444451,1,381.4209583333335
166,4.2735,0.5341944444444442,1,385.4273611111113
167,4.8076944444444445,0.5341944444444442,1,389.9679583333335
168,5.341888888888889,0.5341666666666667,1,395.0427500000002
169,5.876055555555555,0.5341944444444442,1,400.6517222222224
170,6.41025,0.5341944444444451,1,406.7948750000002
171,6.944444444444445,0.5341944444444442,1,413.47222222222246
172,7.478638888888889,0.5341944444444442,1,420.68376388888913
173,8.012833333333333,0.5341666666666676,1,428.42950000000025
174,8.547,0.5341944444444451,2,436.7094166666669
175,9.081194444444446,0.5341944444444433,2,445.52351388888917
176,9.615388888888889,0.5341944444444433,2,454.87180555555585
177,10.149583333333332,0.5341666666666676,2,464.754291666667
178,10.68375,0.5341944444444433,2,475.17095833333366
179,11.217944444444443,0.5341944444444451,3,486.12180555555585
180,11.752138888888888,0.5341944444444451,3,497.60684722222254
181,12.286333333333333,0.5341666666666658,3,509.62608333333367
182,12.8205,0.5341944444444451,3,522.1795000000003
183,13.354694444444444,0.5341944444444451,3,535.2670972222226
184,13.88888888888889,0.0,3,548.8888888888893
185,13.88888888888889,0.0,3,562.7777777777782
186,13.88888888888889,0.0,3,576.6666666666671
187,13.88888888888889,0.0,3,590.555555555556
188,13.88888888888889,0.0,3,604.4444444444449
189,13.88888888888889,0.0,3,618.3333333333338
190,13.88888888888889,0.0,3,632.2222222222227
191,13.88888888888889,0.0,3,646.1111111111117
192,13.88888888888889,0.0,3,660.0000000000006
193,13.88888888888889,0.0,3,673.8888888888895
194,13.88888888888889,0.0,3,687.7777777777784
195,13.88888888888889,0.0,3,701.6666666666673
196,13.88888888888889,-0.5208333333333339,3,715.5555555555562
197,13.368055555555555,-0.5208333333333339,3,729.1840277777784
198,12.847222222222221,-0.5208333333333321,3,742.2916666666673
199,12.32638888888889,-0.5208333333333339,3,754.8784722222229
200,11.805555555555555,-0.5208333333333339,3,766.944444444445
201,11.284722222222221,-0.5208333333333321,3,778.4895833333339
202,10.76388888888889,-0.5208333333333339,2,789.5138888888895
203,10.243055555555555,-0.5208333333333339,2,800.0173611111117
204,9.722222222222221,0.0,2,810.0000000000006
205,9.722222222222221,0.0,2,819.7222222222227
206,9.722222222222221,0.0,2,829.4444444444449
207,9.722222222222221,0.0,2,839.1666666666671
208,9.722222222222221,0.0,2,848.8888888888893
209,9.722222222222221,0.0,2,858.6111111111114
210,9.722222222222221,0.0,2,868.3333333333336
211,9.722222222222221,0.0,2,878.0555555555558
212,9.722222222222221,0.0,2,887.7777777777779
213,9.722222222222221,0.0,2,897.5000000000001
214,9.722222222222221,0.0,2,907.2222222222223
215,9.722222222222221,0.0,2,916.9444444444445
216,9.722222222222221,0.0,2,926.6666666666666
217,9.722222222222221,0.0,2,936.3888888888888
218,9.722222222222221,0.0,2,946.111111111111
219,9.722222222222221,-0.9722222222222214,2,955.8333333333331
220,8.75,-0.9722222222222223,2,965.0694444444442
221,7.777777777777778,-0.9722222222222223,2,973.3333333333331
222,6.805555555555555,-0.9722222222222223,2,980.6249999999998
223,5.833333333333333,-0.9722222222222223,1,986.9444444444442
224,4.861111111111111,-0.9722222222222219,1,992.2916666666664
225,3.888888888888889,-0.9722222222222223,1,996.6666666666664
226,2.9166666666666665,-0.9722222222222221,1,1000.0694444444442
227,1.9444444444444444,-0.9722222222222222,1,1002.4999999999998
228,0.9722222222222222,-0.9722222222222222,0,1003.9583333333331
229,0.0,0.0,0,1004.4444444444442
230,0.0,0.0,0,1004.4444444444442
231,0.0,0.0,0,1004.4444444444442
232,0.0,0.0,0,1004.4444444444442
233,0.0,0.0,0,1004.4444444444442
234,0.0,0.0,0,1004.4444444444442
235,0.0,0.0,0,1004.4444444444442
236,0.0,0.0,0,1004.4444444444442
237,0.0,0.0,0,1004.4444444444442
238,0.0,0.0,0,1004.4444444444442
239,0.0,0.0,0,1004.4444444444442
240,0.0,0.0,0,1004.4444444444442
241,0.0,0.0,0,1004.4444444444442
242,0.0,0.0,0,1004.4444444444442
243,0.0,0.0,0,1004.4444444444442
244,0.0,0.0,0,1004.4444444444442
245,0.0,0.0,0,1004.4444444444442
246,0.0,0.0,0,1004.4444444444442
247,0.0,1.0416666666666667,0,1004.4444444444442
248,1.0416666666666667,1.0416666666666667,1,1004.9652777777776
249,2.0833333333333335,1.0416666666666665,1,1006.5277777777776
250,3.125,1.041666666666667,1,1009.1319444444442
251,4.166666666666667,0.0,1,1012.7777777777776
252,4.166666666666667,0.0,1,1016.9444444444442
253,4.166666666666667,0.0,1,1021.1111111111109
254,4.166666666666667,0.0,1,1025.2777777777776
255,4.166666666666667,0.0,1,1029.4444444444443
256,4.166666666666667,0.0,1,1033.611111111111
257,4.166666666666667,0.0,1,1037.7777777777778
258,4.166666666666667,0.0,1,1041.9444444444446
259,4.166666666666667,-0.6944444444444446,1,1046.1111111111113
260,3.4722222222222223,-0.6944444444444446,1,1049.9305555555557
261,2.7777777777777777,-0.9259166666666667,1,1053.0555555555557
262,1.851861111111111,-0.9259444444444443,1,1055.3703750000002
263,0.9259166666666666,-0.9259166666666666,0,1056.759263888889
264,0.0,0.0,0,1057.2222222222224
265,0.0,0.0,0,1057.2222222222224
266,0.0,0.0,0,1057.2222222222224
267,0.0,0.0,0,1057.2222222222224
268,0.0,0.0,0,1057.2222222222224
269,0.0,0.0,0,1057.2222222222224
270,0.0,0.0,0,1057.2222222222224
271,0.0,0.0,0,1057.2222222222224
272,0.0,0.0,0,1057.2222222222224
273,0.0,0.0,0,1057.2222222222224
274,0.0,0.0,0,1057.2222222222224
275,0.0,0.0,0,1057.2222222222224
276,0.0,0.0,0,1057.2222222222224
277,0.0,0.0,0,1057.2222222222224
278,0.0,0.0,0,1057.2222222222224
279,0.0,0.0,0,1057.2222222222224
280,0.0,0.0,0,1057.2222222222224
281,0.0,0.0,0,1057.2222222222224
282,0.0,0.0,0,1057.2222222222224
283,0.0,0.0,0,1057.2222222222224
284,0.0,0.0,0,1057.2222222222224
285,0.0,0.74075,0,1057.2222222222224
286,0.74075,0.7407222222222223,1,1057.5925972222224
287,1.4814722222222223,0.74075,1,1058.7037083333335
288,2.2222222222222223,0.7407499999999998,1,1060.5555555555557
289,2.962972222222222,0.7407222222222223,1,1063.1481527777778
290,3.7036944444444444,0.7407500000000002,1,1066.481486111111
291,4.444444444444445,0.7407499999999994,1,1070.5555555555554
292,5.185194444444444,0.7407222222222227,1,1075.370375
293,5.925916666666667,0.7407499999999994,1,1080.9259305555556
294,6.666666666666666,0.7407500000000002,1,1087.2222222222224
295,7.407416666666666,0.7407222222222227,1,1094.259263888889
296,8.148138888888889,0.7407500000000002,1,1102.037041666667
297,8.88888888888889,0.0,2,1110.5555555555559
298,8.88888888888889,0.0,2,1119.4444444444448
299,8.88888888888889,0.0,2,1128.3333333333337
300,8.88888888888889,0.0,2,1137.2222222222226
301,8.88888888888889,0.0,2,1146.1111111111115
302,8.88888888888889,0.0,2,1155.0000000000005
303,8.88888888888889,0.0,2,1163.8888888888894
304,8.88888888888889,0.0,2,1172.7777777777783
305,8.88888888888889,0.0,2,1181.6666666666672
306,8.88888888888889,0.0,2,1190.555555555556
307,8.88888888888889,0.0,2,1199.444444444445
308,8.88888888888889,0.0,2,1208.333333333334
309,8.88888888888889,0.0,2,1217.2222222222229
310,8.88888888888889,0.0,2,1226.1111111111118
311,8.88888888888889,0.0,2,1235.0000000000007
312,8.88888888888889,0.0,2,1243.8888888888896
313,8.88888888888889,0.0,2,1252.7777777777785
314,8.88888888888889,0.0,2,1261.6666666666674
315,8.88888888888889,0.0,2,1270.5555555555563
316,8.88888888888889,0.0,2,1279.4444444444453
317,8.88888888888889,0.0,2,1288.3333333333342
318,8.88888888888889,0.0,2,1297.222222222223
319,8.88888888888889,0.0,2,1306.111111111112
320,8.88888888888889,0.0,2,1315.000000000001
321,8.88888888888889,-0.8080833333333342,2,1323.8888888888898
322,8.080805555555555,-0.8080833333333333,2,1332.373736111112
