w_EM_row,T_EM_col,eta_EM_map,w_EM_upper,w_EM_max_row,T_EM_max
0.0,-74.73,0.5831,600.0,0.0,70.0
75.0,-59.49,0.6107,,75.0,70.0
150.0,-53.55,0.6222,,150.0,70.0
225.0,-49.77,0.6309,,225.0,52.0
300.0,-44.93,0.6408,,300.0,38.0
375.0,-40.0,0.6512,,375.0,28.0
450.0,-34.96,0.6628,,450.0,19.0
525.0,-30.36,0.6716,,525.0,13.0
600.0,-25.1,0.6797,,600.0,9.0
,-20.31,0.6842,,,
,-15.68,0.6829,,,
,-10.18,0.6693,,,
,-7.72,0.6524,,,
,-4.83,0.6238,,,
,-3.0,0.5739,,,
,3.0,1.7424638438752398,,,
,4.83,1.6030779095864058,,,
,7.72,1.5328019619865114,,,
,10.18,1.4940983116689077,,,
,15.68,1.464343242055938,,,
,20.31,1.4615609470914936,,,
,25.1,1.4712373105781964,,,
,30.36,1.4889815366289458,,,
,34.96,1.5087507543753773,,,
,40.0,1.5356265356265357,,,
,44.93,1.560549313358302,,,
,49.77,1.5850372483753368,,,
,53.55,1.6072002571520412,,,
,59.49,1.6374652038644177,,,
,74.73,1.7149717029669012,,,
,,0.6831,,,
,,0.7107,,,
,,0.7222,,,
,,0.7309,,,
,,0.7408,,,
,,0.7512,,,
,,0.7628,,,
,,0.7716,,,
,,0.7797,,,
,,0.7842,,,
,,0.7829,,,
,,0.7693,,,
,,0.7524,,,
,,0.7238,,,
,,0.6739,,,
,,1.4838996883810653,,,
,,1.3815971262779774,,,
,,1.3290802764486975,,,
,,1.2998830105290524,,,
,,1.2773023374632775,,,
,,1.2751849018107626,,,
,,1.2825445684237529,,,
,,1.2960082944530846,,,
,,1.3109596224436286,,,
,,1.3312034078807242,,,
,,1.349892008639309,,,
,,1.3681762210972774,,,
,,1.3846579894765993,,,
,,1.4070634585619812,,,
,,1.4639145073927682,,,
,,0.781,,,
,,0.8049,,,
,,0.8108,,,
,,0.8193,,,
,,0.8258,,,
,,0.8325,,,
,,0.8385,,,
,,0.8427,,,
,,0.8472,,,
,,0.8462,,,
,,0.84,,,
,,0.8241,,,
,,0.8069,,,
,,0.7868,,,
,,0.7425,,,
,,1.3468013468013467,,,
,,1.2709710218607015,,,
,,1.2393109431156277,,,
,,1.213444970270598,,,
,,1.1904761904761905,,,
,,1.181753722524226,,,
,,1.1803588290840417,,,
,,1.1866619200189865,,,
,,1.1926058437686344,,,
,,1.2012012012012012,,,
,,1.2109469605231291,,,
,,1.2205541315757353,,,
,,1.23334977799704,,,
,,1.2423903590508139,,,
,,1.2804097311139564,,,
,,0.826,,,
,,0.8381,,,
,,0.845,,,
,,0.85,,,
,,0.8582,,,
,,0.8652,,,
,,0.8697,,,
,,0.8736,,,
,,0.8731,,,
,,0.8716,,,
,,0.8602,,,
,,0.8397,,,
,,0.8208,,,
,,0.7973,,,
,,0.7368,,,
,,1.3572204125950054,,,
,,1.2542330364981813,,,
,,1.2183235867446394,,,
,,1.1909015124449207,,,
,,1.162520344106022,,,
,,1.1473152822395594,,,
,,1.1453441759248655,,,
,,1.1446886446886446,,,
,,1.1498217776244681,,,
,,1.155802126675913,,,
,,1.1652295502213936,,,
,,1.1764705882352942,,,
,,1.183431952662722,,,
,,1.1931750387781888,,,
,,1.2106537530266344,,,
,,0.8526,,,
,,0.8526,,,
,,0.8526,,,
,,0.86,,,
,,0.8744,,,
,,0.8883,,,
,,0.8961,,,
,,0.9011,,,
,,0.901,,,
,,0.8941,,,
,,0.8852,,,
,,0.8635,,,
,,0.8442,,,
,,0.8262,,,
,,0.7783,,,
,,1.2848515996402416,,,
,,1.2103606874848705,,,
,,1.1845534233593935,,,
,,1.1580775911986103,,,
,,1.1296882060551288,,,
,,1.1184431271669835,,,
,,1.1098779134295227,,,
,,1.1097547442015314,,,
,,1.1159468809284678,,,
,,1.1257458065968704,,,
,,1.1436413540713632,,,
,,1.1627906976744187,,,
,,1.172882946281961,,,
,,10.0,,,
,,10.0,,,
,,0.8605,,,
,,0.8605,,,
,,0.8605,,,
,,0.8605,,,
,,0.8605,,,
,,0.8605,,,
,,0.8716,,,
,,0.8839,,,
,,0.8956,,,
,,0.9005,,,
,,0.8955,,,
,,0.8779,,,
,,0.8593,,,
,,0.8358,,,
,,0.7791,,,
,,1.283532280836863,,,
,,1.1964584828906437,,,
,,1.1637379262190155,,,
,,1.1390818999886092,,,
,,1.1166945840312674,,,
,,1.1104941699056081,,,
,,1.1165698972755695,,,
,,1.1313497001923294,,,
,,1.1473152822395594,,,
,,1.1621150493898895,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,0.8471,,,
,,0.8471,,,
,,0.8471,,,
,,0.8471,,,
,,0.8471,,,
,,0.8471,,,
,,0.8471,,,
,,0.8471,,,
,,0.8609,,,
,,0.8799,,,
,,0.8898,,,
,,0.8867,,,
,,0.8704,,,
,,0.8367,,,
,,0.7852,,,
,,1.273560876209883,,,
,,1.1951715071112705,,,
,,1.1488970588235294,,,
,,1.127777151234916,,,
,,1.1238480557428636,,,
,,1.1364927832708263,,,
,,1.1615750958299453,,,
,,1.180498170227836,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,10.0,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8333,,,
,,0.8355,,,
,,0.8704,,,
,,0.8808,,,
,,0.8752,,,
,,0.8479,,,
,,0.7878,,,
,,1.2693577050012694,,,
,,1.1793843613633683,,,
