region,SoC,T_MGB,w_MGB,dw_MGB,v,v_next,gear,actor_mu,actor_sigma,a_sac,a_argmaxQ,a_argmaxR,a_ecms,u_ecms,mode_sac,mode_argmaxQ,mode_ecms,r_OFF,r_ASSIST,r_LPS,Q_OFF,Q_ASSIST,Q_LPS,dr_OFF_ASSIST,dQ_OFF_ASSIST,dr_OFF_LPS,dQ_OFF_LPS,eq_eff_ecms_units,t_ce_sac,t_em_sac,p_batt_sac,next_soc_sac,t_ce_ecms,t_em_ecms,p_batt_ecms,next_soc_ecms,ERROR_critic,ERROR_reward,dSoC_ecms_minus_sac,discharge_ecms_minus_sac
15-30,0.5001896162675813,16.496143669834325,295.20990634262563,13.489364953835807,8.083333015441895,9.25,1,2.21285080909729,0.6044597625732422,0.9763513494822512,1.0,0.6500000000000001,0.635,0.86125,OFF,OFF,OFF,-0.07273439532111618,-0.06015354593768333,-0.05137206476432009,-0.09409838169813156,-0.10739916563034058,-0.10047852993011475,-0.012580849383432853,0.013300783932209015,-0.021362330556796094,0.006380148231983185,2.4039812469323536,0.15625,16.339893669834325,5884.03865463038,0.49668513074909393,2.34375,14.152393669834325,5183.4344672253255,0.4971037010319946,-0.02524455636739731,0.0030616208981541944,0.00041857028290065434,-700.6041874050543
15-30,0.48674772126165117,20.347779502059684,154.14259026845298,4.874076398213704,7.138888835906982,7.638888835906982,2,1.7890968322753906,0.6657074093818665,0.9456651665651207,1.0,0.375,0.40000000000000013,0.8150000000000001,OFF,OFF,OFF,-0.015884487559530733,-0.026017071507339447,-0.02254796074424409,-0.051388420164585114,-0.0572814978659153,-0.05841695889830589,0.010132583947808714,0.005893077701330185,0.006663473184713355,0.007028538733720779,2.5663223733927234,0.31249999999999645,20.035279502059687,3732.165698959084,0.4845176992412025,3.75,16.597779502059684,3123.8601549198393,0.48488185445679444,-0.009364865720272064,0.0028693077851611407,0.00036415521559191033,-608.3055440392445
15-30,0.44211058454899205,25.90270229295921,159.33081902265553,1.9991380453109746,11.13888931274414,11.166666984558105,3,0.525331974029541,0.7344039678573608,0.4818047501005198,0.6000000000000001,-1.0,0.33000000000000007,0.8381249999999999,OFF,OFF,OFF,-0.025154484453274763,-0.032190928586143766,-0.02469146616498728,-0.04168611392378807,-0.05313318222761154,-0.04838287830352783,0.007036444132869003,0.011447068303823471,-0.00046301828828748323,0.006696764379739761,3.1054162327556853,3.28125,22.62145229295921,4278.655149841977,0.4395141791152461,4.21875,21.68395229295921,4103.889153433162,0.4396205026009767,-0.002983465790748596,0.0010073545836560213,0.00010632348573058614,-174.76599640881432
15-30,0.42657426127800685,19.23448543380722,165.12830013632777,0.799649727344513,11.5,11.36111068725586,3,0.7780354022979736,0.5141764879226685,0.6515776316808004,0.675,0.25,0.29000000000000004,0.7687499999999999,OFF,OFF,OFF,-0.019705981445307354,-0.02843754798807244,-0.021706676493199392,-0.04347628355026245,-0.05962799862027168,-0.054676603525877,0.008731566542765086,0.01615171507000923,0.002000695047892038,0.011200319975614548,3.2930522929801915,2.1875,17.04698543380722,3342.0254358970174,0.4245366037285427,4.374999999999998,14.85948543380722,2930.8977091619167,0.4247877322020812,-0.003271549940109253,0.002551957893837699,0.00025112847353853107,-411.1277267351006
15-30,0.4222811937462426,25.178095912276145,192.71631868183616,1.599313181638718,13.44444465637207,13.583333015441895,3,0.30998432636260986,0.8995509743690491,0.3004228381840215,1.0,-1.0,0.2550000000000001,0.8150000000000001,OFF,OFF,OFF,-0.031152830092559727,-0.03985101946707337,-0.02899378808328894,-0.06610578298568726,-0.0804472416639328,-0.0785074457526207,0.00869818937451364,0.014341458678245544,-0.0021590420092707854,0.012401662766933441,3.3449007428281914,4.375,20.803095912276145,4693.997732230544,0.4194125631666952,4.6875,20.490595912276145,4624.470733533982,0.41945517701529994,-0.0034454092383384705,0.0003857215395584243,4.261384860476669e-05,-69.52699869656226
15-30,0.4129633679569092,16.212769635840164,197.51423763632778,0.0,13.722222328186035,13.63888931274414,3,0.80499267578125,0.5195418000221252,0.6668187053434516,1.0,0.20000000000000018,0.21999999999999997,0.699375,OFF,OFF,OFF,-0.020108663157292185,-0.03206381284578655,-0.02427117540877602,-0.04804135113954544,-0.06637229025363922,-0.06174148619174957,0.011955149688494364,0.01833093911409378,0.004162512251483834,0.013700135052204132,3.4574344543424185,2.0312499999999982,14.181519635840166,3305.122603632217,0.41093880201560423,4.843749999999998,11.369019635840166,2679.9579063086326,0.41132239875996585,-0.010059863328933716,0.003904540508737623,0.00038359674436161395,-625.1646973235843
15-30,0.4025273270291672,29.98084357958904,196.31475618183617,2.398962908983231,13.722222328186035,13.80555534362793,3,-1.2645796537399292,0.6216480135917664,-0.8523217632670903,0.6500000000000001,-1.0,0.33499999999999996,0.86125,LPS,OFF,OFF,-0.1016876584930051,-0.10620547467632625,-0.09121218087330937,-0.08545735478401184,-0.099022276699543,-0.08833251893520355,0.004517816183321158,0.013564921915531158,-0.010475477619695722,0.0028751641511917114,3.58347312963699,50.00376411310029,-20.02292053351125,-3343.1435450514327,0.4045739314156053,4.21875,25.76209357958904,5916.611019370369,0.3988839162472805,-0.012996822595596313,-0.010804350293135936,-0.005690015168324847,9259.7545644218
15-30,0.39301259799618904,18.230029230971958,192.11657452285291,0.3998248636722565,13.36111068725586,13.5,3,-0.6821417808532715,0.6345415711402893,-0.5929100135481308,1.0,-1.0,0.26,0.7456250000000001,LPS,OFF,OFF,-0.033136528430140116,-0.04175450981401898,-0.030430807569197478,-0.05739322304725647,-0.05610174685716629,-0.05557122826576233,0.008617981383878863,-0.0012914761900901794,-0.0027057208609426384,-0.0018219947814941406,3.6983848908505252,24.870968450826027,-6.6409392198540695,-1022.3640681283282,0.393641445065369,4.6875,13.542529230971958,3091.3760047381193,0.3911061109711502,-0.0014708787202835083,0.0013121928462455842,-0.0025353340942187996,4113.740072866447
15-30,0.42388293947106537,23.62238939254808,159.9305563181639,1.599313181638718,11.166666984558105,11.277777671813965,3,-0.3245902955532074,0.9830121994018555,-0.3136515740054799,0.675,-1.0,0.30000000000000004,0.8150000000000001,LPS,OFF,OFF,-0.02427357604670644,-0.03117779710881335,-0.023126505298671635,-0.03516232967376709,-0.04027019068598747,-0.04823078587651253,0.006904221062106912,0.005107861012220383,-0.0011470707480348043,0.013068456202745438,3.325556059273076,24.339497641964716,-0.7171082494166355,-88.09797265401345,0.4239365876431348,4.375,19.24738939254808,3659.5996114682694,0.4216491460157995,0.007449649274349213,0.0028480717235111093,-0.002287441627335296,3747.697584122283
15-30,0.417371622208063,28.438970782530298,164.7284684091807,2.398962908983231,11.527777671813965,12.166666984558105,3,-0.9532806873321533,0.9185872077941895,-0.7412646862063171,-0.775,-1.0,0.3700000000000001,0.86125,LPS,LPS,OFF,-0.03137988643596626,-0.03675951252064788,-0.02613706440399017,-0.05752341449260712,-0.07411319762468338,-0.05900486186146736,0.005379626084681621,0.016589783132076263,-0.00524282203197609,0.0014814473688602448,3.404194865687671,43.97883696012721,-15.539866177596915,-2124.1577237677534,0.4186663845454803,3.9062499999999964,24.5327207825303,4789.116180617455,0.41443973090512937,-0.012620549649000168,-0.0043807096773615765,-0.004226653640350908,6913.273904385209
